Freq.	V(out)
1.41253754462274e+003	(3.37361991216523e+001dB,-8.12309161223049e+001°)
1.44543977074591e+003	(3.39387926817671e+001dB,-8.25507207137777e+001°)
1.47910838816819e+003	(3.41378592237584e+001dB,-8.38656038520490e+001°)
1.51356124843619e+003	(3.43334118509309e+001dB,-8.51754067438243e+001°)
1.54881661891247e+003	(3.45254635916734e+001dB,-8.64799691773773e+001°)
1.58489319246110e+003	(3.47140274414207e+001dB,-8.77791291099273e+001°)
1.62181009735891e+003	(3.48991164120309e+001dB,-8.90727222843382e+001°)
1.65958690743754e+003	(3.50807435879456e+001dB,-9.03605818798143e+001°)
1.69824365246173e+003	(3.52589221883218e+001dB,-9.16425382017859e+001°)
1.73780082874936e+003	(3.54336656352804e+001dB,-9.29184184158432e+001°)
1.77827941003891e+003	(3.56049876265227e+001dB,-9.41880463290110e+001°)
1.81970085860997e+003	(3.57729022125848e+001dB,-9.54512422225209e+001°)
1.86208713666285e+003	(3.59374238770849e+001dB,-9.67078227387466e+001°)
1.90546071796323e+003	(3.60985676196934e+001dB,-9.79576008253815e+001°)
1.94984459975803e+003	(3.62563490405043e+001dB,-9.92003857371538e+001°)
1.99526231496886e+003	(3.64107844251135e+001dB,-1.00435983097999e+002°)
2.04173794466951e+003	(3.65618908294377e+001dB,-1.01664195022920e+002°)
2.08929613085402e+003	(3.67096861631240e+001dB,-1.02884820299196e+002°)
2.13796208950221e+003	(3.68541892709191e+001dB,-1.04097654627261e+002°)
2.18776162394953e+003	(3.69954200108180e+001dB,-1.05302490918028e+002°)
2.23872113856832e+003	(3.71333993281538e+001dB,-1.06499119645174e+002°)
2.29086765276775e+003	(3.72681493249549e+001dB,-1.07687329249828e+002°)
2.34422881531990e+003	(3.73996933235500e+001dB,-1.08866906593413e+002°)
2.39883291901947e+003	(3.75280559237270e+001dB,-1.10037637454491e+002°)
2.45470891568501e+003	(3.76532630530388e+001dB,-1.11199307066642e+002°)
2.51188643150955e+003	(3.77753420093206e+001dB,-1.12351700689859e+002°)
2.57039578276884e+003	(3.78943214951841e+001dB,-1.13494604212494e+002°)
2.63026799189535e+003	(3.80102316440662e+001dB,-1.14627804776829e+002°)
2.69153480392689e+003	(3.81231040373646e+001dB,-1.15751091422676e+002°)
2.75422870333814e+003	(3.82329717127582e+001dB,-1.16864255743062e+002°)
2.81838293126442e+003	(3.83398691633575e+001dB,-1.17967092546589e+002°)
2.88403150312658e+003	(3.84438323277692e+001dB,-1.19059400519082e+002°)
2.95120922666635e+003	(3.85448985713165e+001dB,-1.20140982880215e+002°)
3.01995172040198e+003	(3.86431066584926e+001dB,-1.21211648028451e+002°)
3.09029543251356e+003	(3.87384967167287e+001dB,-1.22271210168620e+002°)
3.16227766016835e+003	(3.88311101923915e+001dB,-1.23319489918118e+002°)
3.23593656929625e+003	(3.89209897988935e+001dB,-1.24356314885582e+002°)
3.31131121482588e+003	(3.90081794577179e+001dB,-1.25381520218598e+002°)
3.38844156139199e+003	(3.90927242330017e+001dB,-1.26394949116048e+002°)
3.46736850452528e+003	(3.91746702599195e+001dB,-1.27396453301700e+002°)
3.54813389233572e+003	(3.92540646680984e+001dB,-1.28385893456549e+002°)
3.63078054770097e+003	(3.93309555000915e+001dB,-1.29363139606364e+002°)
